[0922/140131.027:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0922/172331.867:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/172611.526:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/172616.536:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/172621.853:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/172626.862:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/172631.863:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/173149.286:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/193255.889:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/193300.896:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0922/193305.903:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
